Lead ID,Evidence ID,Brand,Evidence Type,Evidence Date,Title,Summary,Source Name,Source URL,What It Confirms,Reliability,Checked At,Run ID,Claim,Source,Source Date,Verified At,Confidence,Notes,Fact,Source Class
GRM-006,E-011,ПРОФЛИСТ МАРКЕТ,масштабирование,2026-07-20,Складская сеть ПРОФЛИСТ МАРКЕТ,Пять действующих складов и два анонсированных; телефон email и форма,Официальный сайт,https://proflistm.com/,S2 сигнал и контакты,HIGH,2026-07-20,,,,,,,,,
GRM-007,E-012,STILMA,юридические данные,2026-07-02,Карточка ЛИБЕРТИ ДРАЙВ,Юрлицо владеет маркой STILMA; выручка 509.458 млн; собственник Багиров,РБК Компании,https://companies.rbc.ru/id/1227700086437-obschestvo-s-ogranichennoj-otvetstvennostyu-liberti-drajv/,Юрлицо масштаб и LPR,HIGH,2026-07-20,,,,,,,,,
GRM-008,E-013,Алтай Рестарт,юридические данные,2026-05-25,Карточка ГРАНД-КРИО АЛТАЙ,ИНН ОГРН собственник Шуппо сотрудники и финансовые ориентиры,РБК Компании,https://companies.rbc.ru/id/1192225043680-obschestvo-s-ogranichennoj-otvetstvennostyu-grand-krio-altaj/,Юрлицо масштаб и LPR,HIGH,2026-07-20,,,,,,,,,
GRM-008,E-014,Алтай Рестарт,сайт,2026-07-20,Курорт Алтай Рестарт,Премиальный курорт с гостиницей SPA медициной рестораном и корпоративным отдыхом,Официальный сайт,https://altay-restart.ru/,Бизнес-модель и сигнал,HIGH,2026-07-20,,,,,,,,,
GRM-008,E-015,Алтай Рестарт,контакт,2026-07-20,Контакты курорта,Телефон email форма и Telegram,Официальный сайт,https://altay-restart.ru/contacts,Практический маршрут,HIGH,2026-07-20,,,,,,,,,
GRM-009,E-016,Новые технологии печати упаковки,финансовые данные,2026-07-07,Карточка компании,Выручка 16.844 млн прибыль 308 тыс совладелец и директор Точёнов,РБК Компании,https://companies.rbc.ru/id/1127746654430-ooo-novyie-tehnologii-pechati-upakovki/,Масштаб LPR и динамика,HIGH,2026-07-20,,,,,,,,,
GRM-009,E-017,Новые технологии печати упаковки,контакт,2026-07-20,Контакты компании,Два телефона email и адрес,Официальный сайт,https://printing-technologies.ru/contact/,Маршрут связи,HIGH,2026-07-20,,,,,,,,,
GRM-010,E-018,Семаргл,юридические данные,2026-07-20,Карточка ООО СЕМАРГЛ,ИНН ОГРН директор учредители и финансовые данные 2022,РБК Компании,https://companies.rbc.ru/id/1099847019580-ooo-semargl/,Юрлицо масштаб и LPR,MEDIUM,2026-07-20,,,,,,,,,
GRM-010,E-019,Семаргл,автоматизация,2026-07-20,О компании Семаргл,Российская разработка и производство систем автоматизации складской логистики,Официальный сайт,https://semargl.pro/company/,Бизнес-контекст и контакт,HIGH,2026-07-20,,,,,,,,,
GRM-010,E-020,Семаргл,контакт,2026-07-20,Контакты Семаргл,Телефон email и дополнительные открытые контакты,Официальный сайт и Companium,https://semargl.pro/company/; https://www.companium.ru/id/1099847019580-semargl,Маршруты связи,MEDIUM,2026-07-20,,,,,,,,,
GRM-011,E-021,ET.LASER,юридические данные,2026-07-20,Карточка ООО ЕТ-ЛАЗЕР,ИНН ОГРН статус выручка прибыль участники и директор,РБК Компании,https://companies.rbc.ru/id/1197746162525-obschestvo-s-ogranichennoj-otvetstvennostyu-et-lazer/,Юрлицо масштаб собственники и LPR,HIGH,2026-07-20,,,,,,,,,
GRM-011,E-022,ET.LASER,партнёрская программа,2026-07-20,Партнёрство ET.LASER,Компания развивает масштабируемую партнёрскую модель; опубликованы телефон email и формы,Официальный сайт ET.LASER,https://et-laser.ru/partnership,S2 сигнал и маршруты связи,HIGH,2026-07-20,,,,,,,,,
GRM-012,E-023,AldanDev,юридические и финансовые данные,2026-07-20,Карточка ООО АЛДАНДЕВ,ИНН ОГРН директор выручка и убыток,Saby,https://saby.ru/profile/9726056391-770701001,Юрлицо масштаб и LPR,MEDIUM,2026-07-20,,,,,,,,,
GRM-012,E-024,AldanDev,сайт,2026-07-20,Команда и направления AldanDev,Сайт описывает venture studio и публикует телефон email и форму,Официальный сайт AldanDev,https://aldandev.com/,Бизнес-контекст и контакты,HIGH,2026-07-20,,,,,,,,,
GRM-013,E-025,УЗЕЛ СИЛА,юридические и финансовые данные,2026-07-20,Карточка ООО СИЛА-ЦЕНТР,ИНН ОГРН выручка штат собственник и директор,Точка,https://check.tochka.com/company/1126312000011/,Юрлицо масштаб и LPR,MEDIUM,2026-07-20,,,,,,,,,
GRM-013,E-026,УЗЕЛ СИЛА,масштабирование,2026-07-20,Партнёрская и дилерская сеть УЗЕЛ СИЛА,Компания приглашает дилеров строителей и проектные организации; опубликованы прямые контакты,Официальный сайт УЗЕЛ СИЛА,https://uzel-sila.ru/о-компании/,S2 сигнал и контакты,HIGH,2026-07-20,,,,,,,,,
GRM-014,E-027,1КЛИК,финансовые данные,2026-07-20,Карточка ООО 1КЛИК,Выручка 444.387 млн прибыль 109.351 млн собственники и директор,РБК Компании,https://companies.rbc.ru/id/5157746173448-obschestvo-s-ogranichennoj-otvetstvennostyu-1klik/,Масштаб динамика и LPR,HIGH,2026-07-20,,,,,,,,,
GRM-014,E-028,1КЛИК,контакт,2026-07-20,Официальный сайт 1КЛИК,IT-компания публикует телефон email и форму,Официальный сайт 1КЛИК,https://www.1clickgroup.ru/,Бизнес-контекст и маршрут,HIGH,2026-07-20,,,,,,,,,
GRM-015,E-029,БашСептик,юридические данные,2026-07-20,Реквизиты ИП Ядгарова,Официальный сайт связывает бренд с ИП Ядгаров Артур Уралович и публикует контакт,Официальный сайт БашСептик,https://bashseptik.ru/,Точное ИП LPR и контакт,HIGH,2026-07-20,,,,,,,,,
GRM-015,E-030,БашСептик,вакансия,2026-07-20,Операционный директор для БашСептик,Заявки выросли с 300 до 1500+ в месяц; собственник хочет выйти из операционки и открыть новые рынки,Вакансия компании,https://h.careers/job/953dd533-1aa9-490b-a78c-b2f66a3adef9,Прямой S1 сигнал,HIGH,2026-07-20,,,,,,,,,
GRM-016,E-031,LABÁ,юридические и финансовые данные,2026-07-20,Карточка ООО ФЛЕГЕВЕЛЬТ,Выручка 218.53 млн убыток 8.27 млн участники и директор,Т-Банк Бизнес,https://www.tbank.ru/business/contractor/legal/1224700005090/,Юрлицо масштаб и LPR,MEDIUM,2026-07-20,,,,,,,,,
GRM-016,E-032,LABÁ,сайт,2026-07-20,Бренды LABÁ VAERE и KUSSE,Сайт подтверждает связь бренда и юрлица; доступна форма без публичного телефона и email,Официальный сайт LABÁ,https://labacosmetic.com/,Связь бренда и маршрут,MEDIUM,2026-07-20,,,,,,,,,
GRM-017,E-033,HEALTHBAND,юридические данные,2026-07-20,Карточка ООО ХЕЛСБЕНД,ИНН ОГРН собственник директор один сотрудник и нулевая выручка юрлица,РБК Компании,https://companies.rbc.ru/id/1225000009046-obschestvo-s-ogranichennoj-otvetstvennostyu-helsbend/,Юрлицо и риск несоответствия операционной структуры,MEDIUM,2026-07-20,,,,,,,,,
GRM-017,E-034,HEALTHBAND,контакт,2026-07-20,Контакты HEALTHBAND,Сайт показывает офисы в Москве и Казахстане и публикует телефоны и email,Официальный сайт HEALTHBAND,https://healthband.ru/kontakty,Практические маршруты и действующий бизнес,HIGH,2026-07-20,,,,,,,,,
GRM-018,E-035,MED YU MED,финансовые данные,2026-07-20,Карточка ООО МЕД-Ю-МЕД,Выручка 536.248 млн прибыль 188.92 млн собственник и директор,РБК Компании,https://companies.rbc.ru/id/1237700886081-ooo-ooo-med-yu-med/,Масштаб динамика и LPR,HIGH,2026-07-20,,,,,,,,,
GRM-018,E-036,MED YU MED,масштабирование,2026-07-20,Сеть MED YU MED,Две локации в Москве направление в Дубае и e-commerce; опубликованы несколько маршрутов,Официальный сайт MED YU MED,https://med-yu-med.ru/about/,S2 сигнал и контакты,HIGH,2026-07-20,,,,,,,,,
GRM-019,E-037,МОНИТОРУС,финансовые данные,2026-07-20,Карточка ООО МОНИТОРУС,Выручка 92.331 млн прибыль 14.84 млн собственник и директор,РБК Компании,https://companies.rbc.ru/id/1227700610741-ooo-monitorus/,Масштаб рост и LPR,HIGH,2026-07-20,,,,,,,,,
GRM-019,E-038,МОНИТОРУС,партнёрская программа,2026-07-20,Партнёрство МОНИТОРУС,Компания заявляет место в топ-5 производителей и ищет торговых и интеграционных партнёров,Официальный сайт МОНИТОРУС,https://monitoros.ru/,S2 сигнал и маршруты,HIGH,2026-07-20,,,,,,,,,
GRM-020,E-039,Школа практического инвестирования,юридические и финансовые данные,2026-07-20,Карточка ООО ШКОЛА ИНВЕСТИРОВАНИЯ,ИНН ОГРН собственник директор и ориентир выручки около 196 млн,Firmoteka,https://firmoteka.ru/7805819772,Юрлицо масштаб и LPR,MEDIUM,2026-07-20,,,,,,,,,
GRM-020,E-040,Школа практического инвестирования,управленческий найм,2026-07-20,Одновременное усиление маркетинга и продаж,Компания нанимает руководителя трафика маркетолога SMM и менеджеров; опубликованы контакты собственника и школы,Вакансии и официальный сайт,https://nesiditsa.ru/vacancy/133354129; https://investorpractic.ru/fedor-sidorov/,S2 сигнал и контакты,MEDIUM,2026-07-20,,,,,,,,,
GRM-021,E-041,Zaboroff,юридические и финансовые данные,2026-07-21,Карточка ООО ЗАБОРОФФ,Действующая компания; 18 сотрудников; выручка 46.172 млн; прибыль 162 тыс; собственник и директор Каширин,РБК Компании,https://companies.rbc.ru/id/1177746882840-ooo-zaboroff/,Юрлицо масштаб и ЛПР,HIGH,2026-07-21,,,,,,,,,
GRM-021,E-042,Zaboroff,масштаб и контакты,2026-07-21,О компании Zaboroff,Собственное производство; склады; 30 бригад; телефоны email и мессенджеры,Официальный сайт,https://www.zaboroff.ru/about/,Операционный масштаб и маршруты,HIGH,2026-07-21,,,,,,,,,
GRM-021,E-043,Zaboroff,вакансия,2026-01-20,РОП B2B-направления,Генеральный директор лично предлагает построить B2B-направление с нуля и управлять по валовой марже,HH,https://hh.ru/vacancy/129646446,S2 сигнал,HIGH,2026-07-21,,,,,,,,,
GRM-022,E-044,Orange Logistic,юридические и финансовые данные,2026-07-21,Карточка ООО ОРАНЖ СПЕДИШН,Действующая компания; выручка 43.14 млн; прибыль 5.939 млн; собственник и директор Кушнеренко,РБК Компании,https://companies.rbc.ru/id/1117746431758-ooo-oranzh-spedishn/,Юрлицо масштаб и ЛПР,HIGH,2026-07-21,,,,,,,,,
GRM-022,E-045,Orange Logistic,масштаб и контакты,2026-07-21,Международная логистика Orange Logistic,Компания заявляет работу с 800+ клиентами; публикует телефон email и форму,Официальный сайт,https://orangelogistic.ru/,Операционный масштаб и маршрут,HIGH,2026-07-21,,,,,,,,,
GRM-022,E-046,Orange Logistic,вакансия,2026-02-02,Руководитель продаж,Компания предлагает построить отдел продаж под себя и влиять на стратегию,HH,https://hh.ru/vacancy/130081119,S2 сигнал,HIGH,2026-07-21,,,,,,,,,
GRM-023,E-047,Chachas Club,юридические данные,2026-07-21,Карточка ИП Кожомина,Действующий ИП; ИНН и ОГРНИП подтверждены,РБК Компании,https://companies.rbc.ru/persons/ogrnip/319774600704879-kozhomin-kirill-pavlovich/,Точное ИП и владелец,HIGH,2026-07-21,,,,,,,,,
GRM-023,E-048,Chachas Club,масштаб и продукт,2026-07-21,Презентация Chachas Club,Сообщество более 10000 человек; подписная модель; партнёрская сеть по районам Москвы,Официальный сайт,https://chachas.ru/presentation,Бизнес-модель и операционный ориентир,HIGH,2026-07-21,,,,,,,,,
GRM-023,E-049,Chachas Club,вакансия,2026-01-16,РОП для SaaS-стартапа,Основатель ищет РОПа для 300+ продаж в месяц и контроля CAC LTV,HH,https://hh.ru/vacancy/129530808,S1 сигнал,HIGH,2026-07-21,,,,,,,,,
GRM-024,E-050,MARROB,юридические и финансовые данные,2026-07-21,Карточка ООО МАРРОБ РУС,Действующая компания; один сотрудник; выручка 7.257 млн; собственник Шабалтас,РБК Компании,https://companies.rbc.ru/id/1215000079304-obschestvo-s-ogranichennoj-otvetstvennostyu-marrob-rus/,Причина исключения,HIGH,2026-07-21,,,,,,,,,
GRM-024,E-051,MARROB,вакансия и контакты,2026-02-05,РОП для построения отдела с нуля,Запрос релевантен продукту; официальный сайт публикует контакты; масштаб ниже порога,HH и официальный сайт,https://hh.ru/vacancy/130209818; https://marrob.ru/kontakty/,S1 сигнал и маршрут,HIGH,2026-07-21,,,,,,,,,
GRM-025,E-052,АИ Авто,бизнес и контакты,2026-07-21,Импорт автомобилей АИ Авто,Компания заявляет семь лет работы и сотни клиентов; есть сайт и Telegram,Официальный сайт и Telegram,https://ai-import.ru/; https://t.me/Artem_Ivan_Auto,Бренд и рабочий маршрут,HIGH,2026-07-21,,,,,,,,,
GRM-025,E-053,АИ Авто,вакансия,2026-01-27,РОП для построения отдела с нуля,Требуется создать отдел; CRM; KPI; стандарты коммуникации при росте импорта,HH,https://hh.ru/vacancy/129763647,S2 сигнал,HIGH,2026-07-21,,,,,,,,,
GRM-026,E-054,Атмосферика,юридические и финансовые данные,2026-07-26,Карточка ООО «Атмосферика»,"ИНН, ОГРН, собственник и генеральный директор Гайдучек; выручка 486.417 млн ₽ и рост 51.45%",РБК Компании,https://companies.rbc.ru/id/1127847550962-ooo-atmosferika/,"Юрлицо, масштаб, динамика и ЛПР",HIGH,2026-07-26,,,,,,,,,
GRM-026,E-055,Атмосферика,операционный масштаб и контакты,2026-07-26,Официальный сайт Атмосферики,"12 лет на рынке, 1000+ проектов, B2B IT/телеком-решения, телефоны и email отделов",Официальный сайт,https://atmospherica.ru/; https://atmospherica.ru/about-us/,"Бизнес-контекст, масштаб и маршрут связи",HIGH,2026-07-26,,,,,,,,,
GRM-026,E-056,Атмосферика,вакансия,2026-01-30,Руководитель отдела продаж,"Запуск и масштабирование направления с нуля, CRM, KPI, аналитика и unit-экономика",HH,https://hh.ru/vacancy/129991530,S2-сигнал коммерческой перестройки,HIGH,2026-07-26,,,,,,,,,
GRM-027,E-057,Кристон-Кадастр,юридические и финансовые данные,2026-07-26,Карточка ООО «КРИСТОН-КАДАСТР»,"Выручка 73.696 млн ₽, прибыль 5.444 млн ₽, 13 сотрудников, директор и два совладельца",РБК Компании,https://companies.rbc.ru/id/1167746456404-ooo-kriston-kadastr/,"Юрлицо, масштаб, сотрудники и ЛПР",HIGH,2026-07-26,,,,,,,,,
GRM-027,E-058,Кристон-Кадастр,контакты,2026-07-26,Официальные контакты Кристон-Кадастр,"Телефон, email, реквизиты, адрес и генеральный директор опубликованы на сайте",Официальный сайт,https://kriston-kadastr.ru/contacts,Точный legal match и рабочий маршрут,HIGH,2026-07-26,,,,,,,,,
GRM-027,E-059,Кристон-Кадастр,вакансия,2026-02-08,Руководитель отдела продаж,"Компания предлагает руководителю влиять на стратегию, развитие и коммерческий результат",HH,https://hh.ru/vacancy/129480935,S2-сигнал усиления коммерческой функции,HIGH,2026-07-26,,,,,,,,,
GRM-028,E-060,Авто Сувенир,юридические и финансовые данные,2026-07-26,Карточка ООО «Авто Сувенир»,"Действующая компания, 9 сотрудников, собственник и директор Зевакин; выручка снизилась с 75.58 до 50.181 млн ₽",РБК Компании,https://companies.rbc.ru/id/1107746944360-ooo-avto-suvenir/,"Юрлицо, масштаб, падение выручки и ЛПР",HIGH,2026-07-26,,,,,,,,,
GRM-028,E-061,Авто Сувенир,вакансия,2026-02-02,РОП по нескольким направлениям B2B,"Построение отдела с нуля, CRM, аналитика, unit-экономика и рост до коммерческого директора",HH,https://hh.ru/vacancy/130066730,S2-сигнал коммерческой перестройки,HIGH,2026-07-26,,,,,,,,,
GRM-028,E-062,Авто Сувенир,контакт,2026-07-26,Карточка организации на карте,Публичный телефон по адресу юридического лица,Яндекс Карты,https://yandex.com/maps/org/avto_suvenir/88775955424/,Практический маршрут связи,MEDIUM,2026-07-26,,,,,,,,,
GRM-029,E-063,Агентство недвижимости «Ключ»,юрлицо и контакты,2026-07-26,Официальный сайт агентства «Ключ»,"Сайт связывает бренд с ИП Мухетдиновым Данисом Рустамовичем, публикует ИНН и email",Официальный сайт,https://kluch.me/o-kompanii/,"Бренд, ИП, основатель и контакт",HIGH,2026-07-26,,,,,,,,,
GRM-029,E-064,Агентство недвижимости «Ключ»,масштабирование,2026-07-26,10 лет агентству Kluch,"100+ сотрудников, 15000+ клиентов и выход на рынок Москвы",Официальный сайт,https://kluch.me/new/,Операционный масштаб и S2-сигнал экспансии,HIGH,2026-07-26,,,,,,,,,
GRM-029,E-065,Агентство недвижимости «Ключ»,отраслевой реестр и контакт,2026-07-26,Член Гильдии риэлторов Республики Татарстан,"Руководитель Данис Мухетдинов, телефон и email агентства",Гильдия риэлторов РТ,https://grrt.info/members/agentstvo-nedvizhimosti-klyuch-ip-mukhetdinov-danis-rustamovich.html,ЛПР и маршрут связи,HIGH,2026-07-26,,,,,,,,,
GRM-029,E-066,Агентство недвижимости «Ключ»,вакансия,2026-02-05,РОП направления новостроек,"Основатель усиливает направление и ищет РОПа-создателя, который понимает экономику сделок и воронку",HH,https://hh.ru/vacancy/129916548,S2-сигнал построения коммерческого направления,HIGH,2026-07-26,,,,,,,,,
GRM-030,E-067,Крути Педали,операционный масштаб,2026-07-26,Официальный сайт велопроката,"650+ единиц парка, 40000+ клиентов в год, несколько точек и 18 лет работы",Официальный сайт,https://www.kruti-pedali.ru/,Реальный бизнес и операционный масштаб,HIGH,2026-07-26,,,,,,,,,
GRM-030,E-068,Крути Педали,юридические данные,2026-07-26,Текущая платёжная страница,"В реквизитах указан ИП Латышева Н.Н., ИНН 773104959143 и ОГРН 319774600680871",Официальная платёжная страница,https://kruti-pedali2025.ru/webapp,Один из актуальных вариантов операционного лица,HIGH,2026-07-26,,,,,,,,,
GRM-030,E-069,Крути Педали,расхождение реквизитов,2026-07-26,Оферта основного сайта,"В оферте указана ИП Зарина В.Н., что не совпадает с текущей платёжной страницей",Официальный сайт,https://www.kruti-pedali.ru/o-prokate/oferta.html,Причина статуса «НУЖНА ДОПРОВЕРКА»,HIGH,2026-07-26,,,,,,,,,
GRM-030,E-070,Крути Педали,вакансия,2026-02-08,Операционный директор,"Прямая работа с собственником и развитие бизнеса, включая парк техники, логистику и стратегию роста",HH,https://hh.ru/vacancy/129481377,S2-сигнал операционной перестройки,HIGH,2026-07-26,,,,,,,,,
GRM-031,E-071,ТОРГ-ЛАЙТ,юридические и финансовые данные,2026-07-27,Карточка ООО «ТОРГ-ЛАЙТ»,"ИНН 7723401350, ОГРН 1157746682576, собственник и генеральный директор Кобылян Александр Александрович; выручка 64.136 млн ₽ и убыток 1.056 млн ₽ за 2025 год",РБК Компании,https://companies.rbc.ru/id/1157746682576-ooo-torg-lajt/,Юрлицо масштаб динамика и ЛПР,HIGH,2026-07-27,,,,,,,,,
GRM-031,E-072,ТОРГ-ЛАЙТ,вакансия,2026-01-26,Руководитель отдела продаж светотехника,Создание отдела продаж с нуля; рост выручки и прибыльности; развитие B2B проектного и дилерского каналов,HH,https://hh.ru/vacancy/129668251,S2-сигнал коммерческой перестройки,HIGH,2026-07-27,,,,,,,,,
GRM-031,E-073,ТОРГ-ЛАЙТ,контакты,2026-07-27,Официальные контакты Trade Light,Телефон +7 (495) 162-99-37 и email svet@trade-light.ru опубликованы на официальном сайте,Официальный сайт,https://www.trade-light.ru/contacts,Практический маршрут связи,HIGH,2026-07-27,,,,,,,,,
GRM-032,E-074,ТемпСтройСистема,юридические и финансовые данные,2026-07-27,Карточка ООО «ТемпСтройСистема»,"ИНН 7736195320, ОГРН 1027700171531, генеральный директор Вершинина Ирина Васильевна; выручка 19.7 млн ₽ за 2025 год",РБК Компании,https://companies.rbc.ru/id/1027700171531-ooo-tempstrojsistema/,Юрлицо масштаб и ЛПР,HIGH,2026-07-27,,,,,,,,,
GRM-032,E-075,ТемпСтройСистема,бизнес-контекст и контакты,2026-07-27,Официальный сайт корпорации,Более 30 лет на рынке; президент корпорации Александр Клевцов; телефон и email; специализация на гидроизоляции и инженерных строительных решениях,Официальный сайт,https://tempstroy.ru/company/,Бренд операционный контекст руководство и маршрут связи,HIGH,2026-07-27,,,,,,,,,
GRM-032,E-076,ТемпСтройСистема,коммерческий сигнал,2026-02-01,Коммерческий директор CCO,Компания описывает фазу пересборки и масштабирования коммерческого контура с ответственностью за выручку маржу каналы ассортимент и P&L,HH,https://hh.ru/vacancy/129535324,S2-сигнал пересборки коммерческой системы,HIGH,2026-07-27,,,,,,,,,
GRM-032,E-077,ТемпСтройСистема,активный найм,2026-07-27,Руководитель проектных продаж,Официальная карьерная страница подтверждает усиление проектных B2B-продаж и работу с длинными сделками проектировщиками подрядчиками и заказчиками,Официальный сайт,https://tempstroy.ru/career/employment/,Актуальность коммерческого сигнала,HIGH,2026-07-27,,,,,,,,,
GRM-034,E-082,LinzLaser,юридические и финансовые данные,2026-07-27,Карточка ООО «ЛИНЗЛАЗЕР»,"ИНН 7733356071, ОГРН 1207700211553, действующее юрлицо; собственник и генеральный директор Гайсин Рамиль Маратович; выручка 243.232 млн ₽ и прибыль 15.238 млн ₽ за 2024 год",РБК Компании,https://companies.rbc.ru/id/1207700211553-obschestvo-s-ogranichennoj-otvetstvennostyu-linzlazer/,Юрлицо масштаб собственник и ЛПР,HIGH,2026-07-27,,,,,,,,,
GRM-034,E-083,LinzLaser,актуальный масштаб,2026-07-27,Профиль компании за 2025 год,Выручка около 230.42 млн ₽ за 2025 год; 17 сотрудников; генеральный директор Гайсин Рамиль Маратович,Seldon,https://basis.myseldon.com/ru/company/1207700211553/news,Свежий финансовый и операционный масштаб,MEDIUM,2026-07-27,,,,,,,,,
GRM-034,E-084,LinzLaser,вакансия,2026-01-08,Руководитель отдела продаж,"Компания заявляет активный рост и масштабирование; задача — построить отдел продаж с нуля, внедрить регламенты, отчетность, KPI по продажам и маржинальности, лично вести крупные B2B-переговоры и синхронизировать продажи с маркетингом",HH,https://hh.ru/vacancy/129417303,S2-сигнал построения коммерческой функции,HIGH,2026-07-27,,,,,,,,,
GRM-034,E-085,LinzLaser,официальный сайт и контакты,2026-07-27,Контакты LinzLaser,"Официальный сайт ООО «ЛИНЗЛАЗЕР» публикует телефоны +7 495-477-54-02 и +7 991 779-29-26, email order@linzlaser.ru, адрес офиса и ссылки на VK и Telegram",Официальный сайт,https://linzlaser.ru/kontaktyi,Связь бренда с юрлицом и практический маршрут связи,HIGH,2026-07-27,,,,,,,,,
GRM-035,E-086,ТрекМарк,юридические и финансовые данные,2026-07-27,"Карточка ООО «ТРЕКМАРК""","ИНН 7734391181, ОГРН 1167746890475, действующее юрлицо; генеральный директор Протасов Сергей Николаевич; 89 сотрудников; поступления от текущих операций 695.608 млн ₽ за 2024 год",РБК Компании,https://companies.rbc.ru/id/1167746890475-ooo-trekmark/,Юрлицо масштаб и ЛПР,HIGH,2026-07-27,,,,,,,,,
GRM-035,E-087,ТрекМарк,официальный профиль,2026-07-27,О компании ТрекМарк,Официальный сайт связывает бренд с ООО «ТрекМарк» и ИНН 7734391181; компания разрабатывает и производит комплексные решения для цифровой маркировки,Официальный сайт,https://trekmark.ru/about/,Связь бренда с юрлицом и характер бизнеса,HIGH,2026-07-27,,,,,,,,,
GRM-035,E-088,ТрекМарк,бизнес-масштаб,2026-07-27,Портфель проектов,К 2026 году официальный портфель превысил 400 завершённых проектов по внедрению систем маркировки,Официальный сайт,https://trekmark.ru/about/projects/,Операционный масштаб и сложные проектные продажи,HIGH,2026-07-27,,,,,,,,,
GRM-035,E-089,ТрекМарк,вакансия,2026-01-27,Руководитель отдела продаж B2B,"В связи со стратегией масштабирования компания ищет руководителя продаж для управления командой, CRM, партнёрской сетью, коммерческим циклом, объёмом и маржинальностью проектов",HH,https://hh.ru/vacancy/129648650,S2-сигнал развития коммерческой системы,HIGH,2026-07-27,,,,,,,,,
GRM-035,E-090,ТрекМарк,официальные контакты,2026-07-27,Контакты ТрекМарк,"Опубликованы телефон 8 800 2222 888, email отдела продаж tm.sales@trekmark.ru, общий email info@trekmark.ru и форма сайта",Официальный сайт,https://trekmark.ru/contacts/,Практический корпоративный маршрут связи,HIGH,2026-07-27,,,,,,,,,
GRM-036,E-091,Руслитекс,юридические данные,2026-07-27,"Карточка ООО «РУСЛИТЕКС""","ИНН 9723233973, ОГРН 1247700467915, действующее юрлицо; генеральный директор и единственный учредитель Тарантов Дмитрий Николаевич",РБК Компании,https://companies.rbc.ru/id/1247700467915-ooo-rusliteks/,Юрлицо собственник и ЛПР,HIGH,2026-07-27,,,,,,,,,
