Evidence ID,Lead ID,Brand,Evidence Type,Evidence Date,Title,Summary,Source Name,Source URL,What It Confirms,Reliability,Checked At
E-027,GRM-014,1КЛИК,финансовые данные,2026-07-20,Карточка ООО 1КЛИК,Выручка 444.387 млн прибыль 109.351 млн собственники и директор,РБК Компании,https://companies.rbc.ru/id/5157746173448-obschestvo-s-ogranichennoj-otvetstvennostyu-1klik/,Масштаб динамика и LPR,HIGH,2026-07-20
E-028,GRM-014,1КЛИК,контакт,2026-07-20,Официальный сайт 1КЛИК,IT-компания публикует телефон email и форму,Официальный сайт 1КЛИК,https://www.1clickgroup.ru/,Бизнес-контекст и маршрут,HIGH,2026-07-20
E-029,GRM-015,БашСептик,юридические данные,2026-07-20,Реквизиты ИП Ядгарова,Официальный сайт связывает бренд с ИП Ядгаров Артур Уралович и публикует контакт,Официальный сайт БашСептик,https://bashseptik.ru/,Точное ИП LPR и контакт,HIGH,2026-07-20
E-030,GRM-015,БашСептик,вакансия,2026-07-20,Операционный директор для БашСептик,Заявки выросли с 300 до 1500+ в месяц; собственник хочет выйти из операционки и открыть новые рынки,Вакансия компании,https://h.careers/job/953dd533-1aa9-490b-a78c-b2f66a3adef9,Прямой S1 сигнал,HIGH,2026-07-20
E-031,GRM-016,LABÁ,юридические и финансовые данные,2026-07-20,Карточка ООО ФЛЕГЕВЕЛЬТ,Выручка 218.53 млн убыток 8.27 млн участники и директор,Т-Банк Бизнес,https://www.tbank.ru/business/contractor/legal/1224700005090/,Юрлицо масштаб и LPR,MEDIUM,2026-07-20
E-032,GRM-016,LABÁ,сайт,2026-07-20,Бренды LABÁ VAERE и KUSSE,Сайт подтверждает связь бренда и юрлица; доступна форма без публичного телефона и email,Официальный сайт LABÁ,https://labacosmetic.com/,Связь бренда и маршрут,MEDIUM,2026-07-20
E-033,GRM-017,HEALTHBAND,юридические данные,2026-07-20,Карточка ООО ХЕЛСБЕНД,ИНН ОГРН собственник директор один сотрудник и нулевая выручка юрлица,РБК Компании,https://companies.rbc.ru/id/1225000009046-obschestvo-s-ogranichennoj-otvetstvennostyu-helsbend/,Юрлицо и риск несоответствия операционной структуры,MEDIUM,2026-07-20
E-034,GRM-017,HEALTHBAND,контакт,2026-07-20,Контакты HEALTHBAND,Сайт показывает офисы в Москве и Казахстане и публикует телефоны и email,Официальный сайт HEALTHBAND,https://healthband.ru/kontakty,Практические маршруты и действующий бизнес,HIGH,2026-07-20
E-035,GRM-018,MED YU MED,финансовые данные,2026-07-20,Карточка ООО МЕД-Ю-МЕД,Выручка 536.248 млн прибыль 188.92 млн собственник и директор,РБК Компании,https://companies.rbc.ru/id/1237700886081-ooo-ooo-med-yu-med/,Масштаб динамика и LPR,HIGH,2026-07-20
E-036,GRM-018,MED YU MED,масштабирование,2026-07-20,Сеть MED YU MED,Две локации в Москве направление в Дубае и e-commerce; опубликованы несколько маршрутов,Официальный сайт MED YU MED,https://med-yu-med.ru/about/,S2 сигнал и контакты,HIGH,2026-07-20
E-037,GRM-019,МОНИТОРУС,финансовые данные,2026-07-20,Карточка ООО МОНИТОРУС,Выручка 92.331 млн прибыль 14.84 млн собственник и директор,РБК Компании,https://companies.rbc.ru/id/1227700610741-ooo-monitorus/,Масштаб рост и LPR,HIGH,2026-07-20
E-038,GRM-019,МОНИТОРУС,партнёрская программа,2026-07-20,Партнёрство МОНИТОРУС,Компания заявляет место в топ-5 производителей и ищет торговых и интеграционных партнёров,Официальный сайт МОНИТОРУС,https://monitoros.ru/,S2 сигнал и маршруты,HIGH,2026-07-20
E-039,GRM-020,Школа практического инвестирования,юридические и финансовые данные,2026-07-20,Карточка ООО ШКОЛА ИНВЕСТИРОВАНИЯ,ИНН ОГРН собственник директор и ориентир выручки около 196 млн,Firmoteka,https://firmoteka.ru/7805819772,Юрлицо масштаб и LPR,MEDIUM,2026-07-20
E-040,GRM-020,Школа практического инвестирования,управленческий найм,2026-07-20,Одновременное усиление маркетинга и продаж,Компания нанимает руководителя трафика маркетолога SMM и менеджеров; опубликованы контакты собственника и школы,Вакансии и официальный сайт,https://nesiditsa.ru/vacancy/133354129; https://investorpractic.ru/fedor-sidorov/,S2 сигнал и контакты,MEDIUM,2026-07-20
