Дата,Компания,Событие,Сигнал,Балл,Почему интересно,Источник,Ссылка,Статус
2026-04-10T14:45:44+00:00,target=,"Финансовые результаты группы Илим за 2025 год: чистый убыток составил 16,5 млрд ₽ - Marketpower.pro",revenue_decline,40,Найден сигнал «revenue_decline»: чистый убыток.,Google News — снижение выручки и убытки,https://news.google.com/rss/articles/CBMiuAFBVV95cUxNbXpGeVZhbUw4NF9xcEN6RVZBNDVaSHdhMDgzeFdTT01uSklCbFF1Z29LQ3NLYm1udmZQVjBYLUk5UF9uVm1UY21fUmNHQl8wTDZoZzJTWjBCUU84NFVuMWRFU0ZtS2pMZUw2TUg2T29EVE1qM3ZmOEUteFczUFRFM05DOEVzalVDT3ZRSzRuX3gtd2lDSTg3LVJEOVNMaksyQ1p1Zi0xdFNwNXVITUNHekJxSUphTlFK?oc=5,new
2026-04-02T07:00:00+00:00,Магнит,"«Магнит» впервые за 20 лет получил чистый убыток, он составил 22 млрд рублей - Юга.ру",revenue_decline,40,Найден сигнал «revenue_decline»: чистый убыток.,Google News — снижение выручки и убытки,https://news.google.com/rss/articles/CBMirAFBVV95cUxPMktBWGdoVURuRTlaR25ScGVCelJUTzhHR3NYejR1bkRoWE5DM0NoZWVaeWRfaUdWYUhyUktuMk9lcVB3VTQ1UXV4ZUljWGtDSlE5UC00aHJTS1JzOWt0R0RtVzl2T2ZqVXE1aXVyRXpKN2g3Q0E5b0g1OHl0RXBNRkJVeTU5MVJ0dVAyellqcWRoM0ZMcTFvZmJ1Q1d0eXg3d2R6bnlIVHRVVGcz0gGyAUFVX3lxTE1TTVBXbUNtQWRBTEFFWVg5NDRHT1prLUJnbjN4MTlWdmo5SEZocFFJN1A2aktPNWhMTXFWTTJqX3MwSmhxR0tYcVM4bnhROTdVR1JyaEZjU19hdjhRRW5mZEptZzA1a01BWUdEYklEX1cwVUp2dWdUM0RLWDB6R2pia0M1UHF6YnRtWGxyRlMwbVJsaVdEdXdQYXVfck1sTUR2VTFZSXM2SEN4Zl9ROEEwVnc?oc=5,new
2026-04-01T07:00:00+00:00,Магнита,Чистый убыток операционной компании «Магнита» в 2025 году превысил 22 млрд рублей - Sostav.ru,revenue_decline,40,Найден сигнал «revenue_decline»: чистый убыток.,Google News — снижение выручки и убытки,https://news.google.com/rss/articles/CBMipgFBVV95cUxPRFRzRk16RVoyZm1nVzV4UlplOFJQeEFXRXpNekhEb2pqZVNkZklZWGk4eWZoY0RrUWhrNDFSTnQ3VGVNTGdUNkxpT0sxUm9JT1lUajZBRHZ4TDdKX1F3RXlDM3F1aVFjYmlOZDBab2xMSEhYMFBJeUNvclZZS2U5aHlWeXdwc3pfT3ZBWFBYdTFzaHpUZnBfXzhYX1NCblBFb0h3YTFR?oc=5,new
2026-03-31T07:00:00+00:00,target=,Gucci в России зафиксировал чистый убыток в 350 млн рублей - New-Retail.ru,revenue_decline,40,Найден сигнал «revenue_decline»: чистый убыток.,Google News — снижение выручки и убытки,https://news.google.com/rss/articles/CBMingFBVV95cUxNTkg1MzkwVlg4akcxOWhGR3YtOU4tX3hvYXh2SURRV3BUNVBjeUdodDAtczlMZW5Fd2licVRPNGVLTksweTVrczFLSFB5WDd6S1VuWkxWQ0hoN2lVRklUUE03X3FHTjRqRHZnc1FGVlFUX1lCWlJjQU9ITThGZkN0NVNCck9BTURaOVVlZzNzREg2WGhrd1EwcGUwaE1DZw?oc=5,new
2026-03-27T07:00:00+00:00,target=,Чистый убыток ГТЛК по итогам 2025 года составил 6 млрд рублей - Морские вести России,revenue_decline,40,Найден сигнал «revenue_decline»: чистый убыток.,Google News — снижение выручки и убытки,https://news.google.com/rss/articles/CBMiTkFVX3lxTFBpM2lEcUNVSXJwdnlQV1RXTVdUa3R5VmQtZEJMSzc4OFprc1dmWkE4cnpRV3FSdEN6NHZmWVVJVVVMcGpwV2g3VzhqUjktUQ?oc=5,new
2026-03-27T07:00:00+00:00,target=,Чистый убыток ГТЛК по РСБУ составил 6 млрд рублей в 2025 году - Ведомости,revenue_decline,40,Найден сигнал «revenue_decline»: чистый убыток.,Google News — снижение выручки и убытки,https://news.google.com/rss/articles/CBMifEFVX3lxTFBKUWxaOFIzWWtQQmpFRVZFYnowcmRBUXBmR0Q5T1o0bzdVVHNLTXNGRWdTMlRVOHZIUWUzQUJLREVHM3EzNG4xUDRaN0lrSTc0NjB0ZGdoLUk5RHZHUElTS212UFJNd2xlNzRSZGhhUkxyV293cWZHUnRQLXA?oc=5,new
2026-03-27T07:00:00+00:00,ГТЛК по итогам 2025 года,ГТЛК по итогам 2025 года получила чистый убыток в размере почти 6 млрд рублей - Портньюс,revenue_decline,40,Найден сигнал «revenue_decline»: чистый убыток.,Google News — снижение выручки и убытки,https://news.google.com/rss/articles/CBMiR0FVX3lxTE9hRFdlYUxPSzdhVk9JaHVtclFIWTJWVmdYUGNESThLcWZkRkw1b3NXUjNkbzRLVGlOYzlQYVU2dy1Uc3ZrUTVj?oc=5,new
2026-03-20T07:00:00+00:00,ЛУКОЙЛа,"Чистый убыток ""ЛУКОЙЛа"" по МСФО с учетом прекращения деятельности по части активов в 2025 г. составил 1,06 трлн руб. - Интерфакс",revenue_decline,40,Найден сигнал «revenue_decline»: чистый убыток.,Google News — снижение выручки и убытки,https://news.google.com/rss/articles/CBMiUkFVX3lxTE0yTmlFSEdSbVNnR2dGVjdBd1RZQjdZa0lOdlZVNW5nSkk5RHA3WFZOa3BPWnMzaXRwWjN6WExvQncxMVBheFhCOFloUi1aazRTUXfSAUtBVV95cUxNMkpxeXRiUF84bmVKX0hHamV2YkUzX2FOci1OVWJwOW1rWFh4QWNzMDVnaDR4aW1rMk5BNzhpOE8xR2U3SFZvSFY4X3M?oc=5,new
2026-02-17T08:00:00+00:00,target=,Новатэк (NVTK): отчет за II полугодие 2025 по МСФО. Чистый убыток и что там с Арктик СПГ-2?⁠ - Smart-Lab,revenue_decline,40,Найден сигнал «revenue_decline»: чистый убыток.,Google News — снижение выручки и убытки,https://news.google.com/rss/articles/CBMiTkFVX3lxTE9EZXdmTl9pUllMLTVkLWs1VEQ2MWFwTkZtQ1B3ZFd6OERyeFdSYkdKSDJ0UFBfVExoTXZmM0VieGlIQXhjZklQYUZVMlp0dw?oc=5,new
2026-02-12T08:00:00+00:00,target=,"Камазовский автоперевозчик NatCar увеличил годовой чистый убыток в 3,6 раза - Интерфакс",revenue_decline,40,Найден сигнал «revenue_decline»: чистый убыток.,Google News — снижение выручки и убытки,https://news.google.com/rss/articles/CBMiUkFVX3lxTE9VZlVySjdRRUcydEtweG9BdjBBUmVURmYyczZOTXJRaFRYaXktM0dJWm14V1V3UHZkZWVjWlhtckhaYzFMYmlMdTlQOGY1anJXVFHSAUtBVV95cUxPczZ6R3lXNmQwM0V6b3k4b1dabEc2TDQ1RDlhbHpZRWVjMHZUaWpkQTdSSzVhY1JucnZraUxtY1RVQU5VclVTZ0ppRGs?oc=5,new
2026-02-11T08:00:00+00:00,target=,Ford зафиксировал рекордный чистый убыток - БКС Экспресс,revenue_decline,40,Найден сигнал «revenue_decline»: чистый убыток.,Google News — снижение выручки и убытки,https://news.google.com/rss/articles/CBMijgFBVV95cUxPb2dRX1JDUHVXQXNEVXBjUFZEclMtMjhoVVZiV2FYbWNfRTJnMzBaUEROME12NGVxSDh6bFNyWnVndVdJVkZ2bnZqVnQ0WE1MdWh3RGpPbGt3UDh6U0I4d1RNMFFEN004TjJPMGRKZGR4UDlBbnZtcVFldlgxd3BjUGlabndFcU9ybG9DbElR?oc=5,new
2025-10-30T07:00:00+00:00,Почта России,"""Почта России"" сократила выручку за 9 месяцев на 1,7%, чистый убыток - на 4% - Интерфакс",revenue_decline,40,Найден сигнал «revenue_decline»: чистый убыток.,Google News — снижение выручки и убытки,https://news.google.com/rss/articles/CBMiUkFVX3lxTE9TUE4wS0lqczM2YXNMM2QwaGVFNktCeG0wZVdGVGNCemprWEJlUndmYWV6WGU1M2NONkptMVRjTXZYd2FCNzFBOW56eUFYdEtIRkHSAUtBVV95cUxQNTBEdDU5MS1wcl9YS0t5R0NYeE53YVdlNlA2dTd3Qm1xeVZMV2N0SkhycWpndXd3MUdEM1d0ZlZoNDRmaUJHdjF5dGc?oc=5,new
2025-08-12T07:00:00+00:00,Вертолеты России,"""Вертолеты России"" в I полугодии получили чистый убыток по РСБУ - Интерфакс",revenue_decline,40,Найден сигнал «revenue_decline»: чистый убыток.,Google News — снижение выручки и убытки,https://news.google.com/rss/articles/CBMiUkFVX3lxTE1nZHFjRzFGYXhHb21uYjlYdlFNX1ZwbGVHcTRYRTd0Y0QwNGhycDhfU19udlUtSDNSWHMxZVQyS3doNF9lTUg0TWMzdVRLUnRRekHSAUtBVV95cUxPc05PZ2lxcktJd2JaVWlNSUt5cU5nMXhyV1NzSDlRS0FKbC1HU3hiV2dMWTA0NG1ybUFsX2NKdERRN0I5OTBCNzZiYUE?oc=5,new
2025-05-16T07:00:00+00:00,дочка,"Российская ""дочка"" Parmalat получила годовой чистый убыток в 20 тысяч рублей - Интерфакс",revenue_decline,40,Найден сигнал «revenue_decline»: чистый убыток.,Google News — снижение выручки и убытки,https://news.google.com/rss/articles/CBMiUkFVX3lxTE5yOVllMUdrVnJiM0pmcE5oVlRDWXRveUx0Sm5Uc0RwSk8wcjhNRGR2bHI4VkxlTnhHUFhPUkFFdk9wTkNmSnNqa0NGdjBldkN1R3fSAUtBVV95cUxOMTh1bnZQeS1mTENuY19idWE5WGlsb0tQekJNUGM2Y0tZdDNNQ0dQY2pnc1ZMOXZ1NTRKS0JtREdhTXhQQkVoQVlPcFk?oc=5,new
2025-04-29T07:00:00+00:00,Почты России,"Чистый убыток ""Почты России"" по МСФО в 2024 году вырос в 2,1 раза - Интерфакс",revenue_decline,40,Найден сигнал «revenue_decline»: чистый убыток.,Google News — снижение выручки и убытки,https://news.google.com/rss/articles/CBMiUkFVX3lxTE9PUklfTWNNQVU5UENTSThKa000aTBHakd5cTR3YVNpaUxNQzh5cGpBQ1pMRnpVWm05VVJlTFlWOWw3Ym5jcVJGajQxYXZoS2VSSmfSAUtBVV95cUxNRHZBVUE4eXgtcTRlTWZHRUdJX3dfM2dnbVhnSW0wWkc5VzdncGE0a2hhQ09VTlZ6cDVIcmhjUVhUVzNYZU1wU0xXYjg?oc=5,new
2025-04-01T07:00:00+00:00,Почты России,"Чистый убыток «Почты России» за год вырос почти в три раза — до 20,5 млрд рублей - Хабр",revenue_decline,40,Найден сигнал «revenue_decline»: чистый убыток.,Google News — снижение выручки и убытки,https://news.google.com/rss/articles/CBMiR0FVX3lxTE9LRVdoZUtJbVRCS0ZaUDNMZERRcWQxZThaQ3dQVEtWZTZDejZCV1pfRDFsemZGLW5ZYlM2VGhFYzA4WlFFUUgw0gFXQVVfeXFMUGJkaTlxTy0wMzdob0t2T3B6NVFxazhxallMYkdqUDd4a2RNWjR0ajdsRHpqVEoyQ0M2VHRiS1JJT3dUQ3FkVjFRQWpDaXRGZHl5VVJ4MFJn?oc=5,new
2025-04-01T07:00:00+00:00,Почты России,Чистый убыток «Почты России» превысил 20 млрд рублей – Новости ритейла и розничной торговли - retail.ru,revenue_decline,40,Найден сигнал «revenue_decline»: чистый убыток.,Google News — снижение выручки и убытки,https://news.google.com/rss/articles/CBMipAFBVV95cUxPSTlHejBKa0FRd2NGWjNoQy1HWlp1bWhJZEsyVlE3a294N3E0YmZDWkdiZ2pLc01GRXRNTXUxOGk0b3dSbWVwZVRFNElNOUtFOGU4cVJuRV93bklNbmtQbzNFNXJKSDE0WXIwRWE2dWVCd1lsMkw2MFNaU1NZUkMwZTkwMEFQckVpRFlJaTBwVk9QR2RUWF9HSUhQaU1GUjFaMGl5TQ?oc=5,new
2025-03-20T07:00:00+00:00,ВКонтакте,"Чистый убыток ""ВКонтакте"" вырос втрое - компания потеряла более миллиарда долларов - Економічна правда",revenue_decline,40,Найден сигнал «revenue_decline»: чистый убыток.,Google News — снижение выручки и убытки,https://news.google.com/rss/articles/CBMiqAFBVV95cUxPcWdZSEk3QjdUWkFmUFFRVGF4VHNxUXIwTFNJbk1LUnhKQXBUUVF3dTloWk1VQnIxMjFqallnVXdNZnFFLUJXUDAzQ3paejhuSE1nd2E5d1hrZVBGY3hIR0ZyT0NnaUNWTGllTnNPQVR6aUJLSXhRT2ttZzUzVGw0U2x4VTRvbXZNVlVCZ2l4N0FJZ1J4VFFQTjRsdW5uTXFZSWRTbERUMXfSAbQBQVVfeXFMTmJQVHNocUtXRVhHWW05Q3RBcjIxLV9rbUl4X05aTGNBNk5lSE1zUkM1TU9lWF82ZDNaTWp6cjJRZ0JhaUg3Y2pQYk9ETzNSOE1zblB5TnhzWEdMLVVOU1ZVbDVjb0dsU1FXUERWUE1FUWhNRjFCZm9kQk9YTmRoeXVEa0pmek1TR3hNU2NHdjdyVmFlTkJ3RHYyRWE2M3drLVJPRE54cUEtb2Qxc0R2SGNHNHg2?oc=5,new
2024-05-12T07:00:00+00:00,Российский Benetton,Российский Benetton получил в 2023 чистый убыток в 48 млн рублей - Своё дело плюс,revenue_decline,40,Найден сигнал «revenue_decline»: чистый убыток.,Google News — снижение выручки и убытки,https://news.google.com/rss/articles/CBMipAFBVV95cUxOTVR5cmEyM0lrTEIyNWc3dGVDNzR5NGZWRV9jRUhBQVVEbm9yNWNEc1JmMFNhYmdIYlpFUF9LaGFtMFIwa2VpaHBMTGRMUzJIU0ZaVkh1aExhNFhQc3F6dkJjcWtTZVRrZ01sdFAwNHVYcG1xVlFTSnZZQS0tazM5QXZMdkpjc1hmYzdiZnNVMkRfb2hLcFpMQU5wZDhhSE5sWVptZw?oc=5,new
2023-05-05T07:00:00+00:00,target=,ГК по ОрВД увеличила годовой чистый убыток на 47% - Интерфакс,revenue_decline,40,Найден сигнал «revenue_decline»: чистый убыток.,Google News — снижение выручки и убытки,https://news.google.com/rss/articles/CBMiUEFVX3lxTE94Uk96amNNaVdVYWVSQ0RNWTltSnBwOTIzVmhTUHM5bElIV0RjVFZwSG1GMnBNdFg3MUpfN1RJV1NZMHlrWUFNTnE2WG5YNU9R0gFKQVVfeXFMTzRFN3huTzVRb3c1eU9GeU4zaEpKU0RrTWlObm05eTZKNU5hQktpWHAyMGdySUdRY3FaYzZhaWxpWmt0WEVPR1Nfb1E?oc=5,new
2023-04-25T07:00:00+00:00,Мираторга,"Чистый убыток розничной сети ""Мираторга"" в 2022 году превысил миллиард рублей - Интерфакс",revenue_decline,40,Найден сигнал «revenue_decline»: чистый убыток.,Google News — снижение выручки и убытки,https://news.google.com/rss/articles/CBMiTEFVX3lxTE1jOXJMZFBndkZRc3UzeHpjQmNjRDFralFvLTFiRUJUTEZDTjkzRkM5cWNRSGd0QVQwSUg1M0pKQ05XMllfQzczSnZKdDfSAUpBVV95cUxPWFVHZU5kSk42Y01FbUY1REE3UGtSYlM1SmlHTV9nc21kVWJJVW81bnZjNm10MXJUQjBKQnp0SUFIdkJjUnQxaEgyQQ?oc=5,new
2023-02-16T08:00:00+00:00,Renault,Renault получил чистый убыток в 2022 году из-за списаний в России - Интерфакс,revenue_decline,40,Найден сигнал «revenue_decline»: чистый убыток.,Google News — снижение выручки и убытки,https://news.google.com/rss/articles/CBMiUEFVX3lxTE54VzhZaVU4RXNpS0FDSGNYVWR5cy0waFFhX1hhUHBTVUp1TFFZcmp3WDN5Wl9BMzk4cElQM2s5aTBnR0N2dExGbGNteHljMFpX0gFKQVVfeXFMUFBtTTVvdFBYUVF5SXR1dWV1QUUxRHdtMkg5MHdmdFhUdTl0Y3AxRnp1dDNmMjRLU3FjaS0wVnI5eWJkcEtWMjdZWVE?oc=5,new
2026-06-08T07:00:00+00:00,target=,Масштабирование бизнеса в Украине: почему Киев остаётся точкой притяжения для компаний - kstati.dp.ua,process_problem,35,Найден сигнал «process_problem»: масштабирование бизнеса.,Google News — CRM и систематизация,https://news.google.com/rss/articles/CBMiuwFBVV95cUxPdE9zcTdVRHViSVhMU1ZscEItQU8tZGlabk1NVU94RVlVUjZvU1F5YkJyOWgyYUhwVTd2ZkpfY2p2eXptNlIzcU1pUTRpN2hUbWU1ODlJWUNxNGJvTGJCZ1ExN2RILXk5VEE4TThDYlJtRHdqOVNrdGxpcjktbkNmQTY5eTExWFFScEljYXpmMl9TanFCYWo1ODR5aG5ZZlNKeUI1MHN2Nmx0d09IbnNZRzk0RGE4VXk5VzdJ?oc=5,new
2026-05-14T07:00:00+00:00,target=,"Масштабирование бизнеса в 2026 году: ключевые стратегии, тренды и роль государственной поддержки - Т-Бизнес секреты",process_problem,35,Найден сигнал «process_problem»: масштабирование бизнеса.,Google News — CRM и систематизация,https://news.google.com/rss/articles/CBMigwFBVV95cUxPYWFBeGR5V184VUM1NzNFTEl0dkE1bDY4c2NDZ01QVGxBbThpOXlrUFJxc0tEUTB5dVJIRkp5YmFKY1JSLS0xTURrano2YmVfTThiUVZ4TWhobzNCSk1KRHVOUzBqdWhHMUx0TmUxVmZaS2o4S1Nzc3RNYkJmc2pTbjYtUQ?oc=5,new
2026-04-14T07:00:00+00:00,МоегоОфиса,"У «МоегоОфиса» втрое выросли убытки — запущена реструктуризация бизнеса, проводятся сокращения - 3DNews",restructuring,35,Найден сигнал «restructuring»: реструктуризация.,Google News — реструктуризация и смена руководства,https://news.google.com/rss/articles/CBMixAFBVV95cUxOTHpPdGZ4NWFkT2FxZ0hKM3J0TE80RnEzRU83WFdGTFpGdThZYWpmLXgzU0NzQ1JOVHNYYWxkWFlVblRaMUV4ZFJkMTItcmxGRGVTcEdWT2JXMW9nZVl4aXpsSnBCNnJPalE1cFF0YkdaYnQ1eE9OZDdhSEd1MEhmNkE5S2ttcUhma3N4dXVkVjFndjBBbGxjd25hRnJRc1hkN0w4VW1CZW1YSkJOdXJuUzBKLURsaHBrN3JRa1hIVDBBVll00gHKAUFVX3lxTE8xMkZTYUNrUGRra2JRR2p5eEVoZXNMQUsweGNOZ1pRWlkwTmtoVWloeEx5STFYUm9hdlQ4Y2c4Vm1NaWRabDRSNWNzNGhUMGxMaDVsUTVtZjhnUVZrS2I5Qi1wWEpyVFNiWHJDbGxjMDVUeExrYmlMNjZUN1dBeHd0SVVZaERpME5XWlRWVzM5S3ZKTnlVREo3a0pUT1FvQ05CWEJzT2JOTFVWaXlUUG9XaUpsb0pDcUJTS3p3STFhNWtSYWM1Mkkxbnc?oc=5,new
2025-12-05T08:00:00+00:00,target=,Синдром отличника у предпринимателя — почему погоня за идеалом убивает масштабирование бизнеса - Т-Бизнес секреты,process_problem,35,Найден сигнал «process_problem»: масштабирование бизнеса.,Google News — CRM и систематизация,https://news.google.com/rss/articles/CBMihAFBVV95cUxPMkswTld3Nk1ibjc2Rk5yMjJNVnduak9McVV6YmFPdGpoWUd2OUxIODd6RWZrbXppUmtIcEtZVThxdTl0NWdvdDdiTEJHc0h4X1AzVnM4QUw0a2JBcTQ5TGhTR2daWTZKSVAxUjYwRXZpZERPZXhQdU9kSnc3QW9HMUVqaXg?oc=5,new
2025-11-11T08:00:00+00:00,target=,Реструктуризация вместо банкротства: рабочая стратегия или отсрочка неминуемого краха - новости Право.ру - ПРАВО.Ru,restructuring,35,Найден сигнал «restructuring»: реструктуризация.,Google News — реструктуризация и смена руководства,https://news.google.com/rss/articles/CBMiREFVX3lxTE5ETWtOMThQVVNhc1lZWk5GSERpb0llSzJnUkRwRWQ4Q2VDLWZHVC1GQzBDaUM2WUtGLVVUZ3NKUGIwa01L0gFKQVVfeXFMUGhkcmtQVzRGWEVIX2dRWTRzMUpiOXVqWUJOdThQd1l2NUROWE80dHF0YWR6R29aWWhKTDBkZHRkUXhxeHN3RkNXM0E?oc=5,new
2025-06-17T07:00:00+00:00,target=,Масштабирование бизнеса – программа Shell LiveWIRE стартовала в Астане - Новости Zakon.kz,process_problem,35,Найден сигнал «process_problem»: масштабирование бизнеса.,Google News — CRM и систематизация,https://news.google.com/rss/articles/CBMiswFBVV95cUxORnZKNnZLUjU1WE9sTTBLeHl6YmlMaXlWZ1NMekgwa3MzemloVGxycmVBdUtyQmFRZU5UOUowZHdzVUVpR2ZIS2RhbXNpSVFiMFpBUUEzUXV2ek5idkpUNDNYRVBtZHlLRWhOQXl4Q1JLem4zemhlRS1JTnpNOFQ0WG9FUEo0NXdkRGRLSU9uTHl1VGhrYjFFX1pVVm5QZkljQUk3OXU4Qy1kTk1zV2pKVWpiQdIBuAFBVV95cUxOME5pQnhnUFlGNHR0RlpWLTd4VG1zUlZydXM5SGtLR1ZOZ2tCbGNDNlo1ZnR0MjM5ZnhRbkUyTnBDUkM5ejhlRzc5c3JHc3g1Vlo2NDFxRDlMRlhjMHp1UUM3R1M5SURxX1NuUnVudXlrcDFYWHFqU1VCaWU1bmg3ZXlCZHN5UHVKc0tqM1BtdFJBcXB2MDFkcEZnRFlhVzNlVnNyZXZNWmUwNVk1aHRKTzE2VFoyWmZY?oc=5,new
2025-05-16T07:00:00+00:00,target=,"Курс на масштабирование бизнеса: Елена Шевченко объясняет, как выйти на новые показатели даже в кризис - Собака.ru — Журнал о людях в Петербурге",process_problem,35,Найден сигнал «process_problem»: масштабирование бизнеса.,Google News — CRM и систематизация,https://news.google.com/rss/articles/CBMiXEFVX3lxTFBKVzdDNnlFR0xyVzNrU2twZXQzQkE4N2dIYlFfcmdZLVVFX1NJbDlBTlNKcmVpZDBqVW81NTNJUE5Sd1IxVTQ4bW9kQjdncW45ZDJuVDE0NFhNUWpo?oc=5,new
